timestamp,open,high,low,close,volume
2019-10-01 00:00:00,8289.97,8310.08,8282.77,8284.91,456.994798
2019-10-01 00:01:00,8284.87,8286.05,8270.69,8277.74,37.510317
2019-10-01 00:02:00,8276.55,8277.62,8265.51,8267.63,29.506321
2019-10-01 00:03:00,8266.45,8268.5,8238.01,8245.5,104.431129
2019-10-01 00:04:00,8242.72,8251.2,8240.01,8242.33,47.738354
2019-10-01 00:05:00,8241.55,8249.79,8241.55,8248.0,14.731294
2019-10-01 00:06:00,8248.0,8249.53,8243.11,8245.13,13.960949
2019-10-01 00:07:00,8245.13,8246.09,8230.03,8236.52,39.903804
2019-10-01 00:08:00,8237.93,8245.14,8235.22,8244.99,19.389932
2019-10-01 00:09:00,8245.9,8245.9,8230.6,8234.22,76.90552
2019-10-01 00:10:00,8235.52,8237.14,8227.01,8227.04,16.221409
2019-10-01 00:11:00,8227.04,8231.47,8206.57,8228.11,99.16744
2019-10-01 00:12:00,8228.13,8232.95,8225.0,8229.37,31.078661
2019-10-01 00:13:00,8229.34,8235.8,8228.46,8234.84,13.297032
2019-10-01 00:14:00,8234.84,8245.07,8233.67,8243.39,15.266684
2019-10-01 00:15:00,8242.94,8245.08,8235.82,8242.55,21.331252
2019-10-01 00:16:00,8242.55,8252.53,8240.79,8252.52,20.764223
2019-10-01 00:17:00,8250.77,8251.24,8241.2,8242.14,13.074402
2019-10-01 00:18:00,8242.12,8245.88,8235.18,8238.16,13.601462
2019-10-01 00:19:00,8238.16,8246.92,8236.48,8242.69,24.541596
2019-10-01 00:20:00,8239.17,8239.31,8227.34,8227.83,25.945363
2019-10-01 00:21:00,8227.59,8232.51,8224.83,8232.51,39.054628
2019-10-01 00:22:00,8230.29,8232.59,8221.29,8222.42,16.365639
2019-10-01 00:23:00,8223.28,8223.28,8210.01,8217.63,56.30788
2019-10-01 00:24:00,8217.61,8223.96,8216.33,8219.42,26.13427
2019-10-01 00:25:00,8219.42,8226.72,8216.7,8226.72,65.223938
2019-10-01 00:26:00,8222.71,8233.62,8222.71,8229.01,11.219202
2019-10-01 00:27:00,8229.15,8232.98,8224.74,8225.87,16.369735
2019-10-01 00:28:00,8226.16,8226.47,8219.88,8225.0,30.546068
2019-10-01 00:29:00,8224.82,8228.56,8218.01,8220.39,11.096366
2019-10-01 00:30:00,8220.78,8222.13,8219.2,8221.84,5.892011
2019-10-01 00:31:00,8221.3,8221.98,8215.0,8215.97,9.452548
2019-10-01 00:32:00,8215.57,8215.96,8206.74,8207.31,20.857784
2019-10-01 00:33:00,8207.96,8214.52,8204.7,8208.74,34.092185
2019-10-01 00:34:00,8208.74,8208.74,8194.46,8195.63,39.709415
2019-10-01 00:35:00,8195.63,8203.8,8194.24,8202.73,24.69267
2019-10-01 00:36:00,8202.0,8202.67,8196.54,8198.65,10.943803
2019-10-01 00:37:00,8197.55,8199.5,8195.08,8196.86,18.272714
2019-10-01 00:38:00,8196.72,8199.5,8188.0,8199.5,41.541196
2019-10-01 00:39:00,8197.15,8215.08,8197.15,8211.09,25.420569
2019-10-01 00:40:00,8211.09,8212.25,8206.03,8211.98,13.354481
2019-10-01 00:41:00,8211.65,8215.96,8211.09,8212.49,11.407927
2019-10-01 00:42:00,8213.76,8218.6,8212.46,8213.51,12.357235
2019-10-01 00:43:00,8213.52,8220.32,8212.18,8218.91,9.227634
2019-10-01 00:44:00,8218.7,8219.43,8213.0,8213.23,8.484709
2019-10-01 00:45:00,8213.23,8218.34,8207.79,8210.07,18.512649
2019-10-01 00:46:00,8210.47,8215.32,8205.58,8206.78,13.759664
2019-10-01 00:47:00,8206.42,8206.68,8199.1,8204.56,10.886294
2019-10-01 00:48:00,8204.49,8207.34,8201.97,8204.53,8.4368
2019-10-01 00:49:00,8204.54,8205.59,8197.64,8199.19,6.015012
2019-10-01 00:50:00,8199.15,8204.07,8195.79,8201.57,5.987102
2019-10-01 00:51:00,8200.52,8203.89,8197.51,8203.22,8.205178
2019-10-01 00:52:00,8201.0,8203.04,8198.05,8200.55,7.363539
2019-10-01 00:53:00,8198.1,8203.44,8195.36,8202.95,7.418645
2019-10-01 00:54:00,8203.38,8203.43,8199.0,8200.87,16.843942
2019-10-01 00:55:00,8200.13,8202.13,8196.64,8198.21,12.91006
2019-10-01 00:56:00,8198.62,8202.18,8196.59,8199.83,7.684273
2019-10-01 00:57:00,8199.71,8200.0,8197.61,8199.17,32.893062
2019-10-01 00:58:00,8199.96,8200.0,8198.98,8199.84,7.882309
2019-10-01 00:59:00,8199.86,8200.0,8198.25,8199.66,11.989725
2019-10-01 01:00:00,8199.21,8200.0,8197.11,8199.77,15.299668
2019-10-01 01:01:00,8199.05,8199.99,8196.01,8197.28,15.366035
2019-10-01 01:02:00,8196.22,8197.29,8195.11,8195.11,6.621905
2019-10-01 01:03:00,8195.28,8197.1,8195.18,8196.84,5.919923
2019-10-01 01:04:00,8196.57,8196.97,8195.54,8196.36,7.45579
2019-10-01 01:05:00,8195.54,8196.48,8187.96,8188.76,12.563133
2019-10-01 01:06:00,8187.98,8189.16,8178.5,8178.5,72.156421
2019-10-01 01:07:00,8178.77,8182.79,8175.1,8181.61,57.063182
2019-10-01 01:08:00,8181.07,8192.48,8181.0,8190.89,19.256106
2019-10-01 01:09:00,8190.2,8191.25,8181.51,8182.29,8.87019
2019-10-01 01:10:00,8183.53,8189.97,8181.16,8181.66,22.90733
2019-10-01 01:11:00,8181.14,8189.0,8173.05,8188.99,68.284054
2019-10-01 01:12:00,8189.0,8209.34,8188.99,8199.69,56.207961
2019-10-01 01:13:00,8201.64,8222.28,8200.46,8215.83,33.86371
2019-10-01 01:14:00,8215.4,8215.78,8204.94,8211.85,19.025296
2019-10-01 01:15:00,8210.78,8215.91,8210.48,8215.91,4.693902
2019-10-01 01:16:00,8215.91,8222.85,8211.83,8215.96,17.715622
2019-10-01 01:17:00,8215.97,8219.54,8214.22,8219.02,9.575974
2019-10-01 01:18:00,8219.02,8219.42,8215.0,8215.42,8.326807
2019-10-01 01:19:00,8216.07,8218.07,8213.32,8216.17,4.529864
2019-10-01 01:20:00,8216.47,8217.22,8216.18,8217.21,6.278566
2019-10-01 01:21:00,8217.22,8226.13,8216.89,8222.26,31.585467
2019-10-01 01:22:00,8223.78,8226.48,8222.34,8225.47,12.15841
2019-10-01 01:23:00,8225.57,8229.99,8221.73,8223.7,15.026714
2019-10-01 01:24:00,8223.73,8224.06,8215.71,8220.3,19.016977
2019-10-01 01:25:00,8220.38,8229.97,8219.33,8220.33,47.182581
2019-10-01 01:26:00,8219.53,8223.89,8218.29,8219.08,10.117673
2019-10-01 01:27:00,8219.78,8219.78,8213.67,8216.47,6.650306
2019-10-01 01:28:00,8215.43,8216.91,8209.34,8210.57,7.910196
2019-10-01 01:29:00,8209.72,8210.79,8200.64,8203.58,24.632036
2019-10-01 01:30:00,8204.99,8204.99,8195.01,8199.04,11.523892
2019-10-01 01:31:00,8198.1,8204.58,8198.1,8201.81,12.343024
2019-10-01 01:32:00,8200.04,8200.99,8193.57,8194.98,17.091847
2019-10-01 01:33:00,8194.07,8214.36,8193.65,8209.63,21.906612
2019-10-01 01:34:00,8209.33,8222.72,8208.18,8220.32,24.172607
2019-10-01 01:35:00,8220.33,8230.0,8218.17,8229.09,24.274568
2019-10-01 01:36:00,8229.09,8231.99,8224.26,8231.5,19.173462
2019-10-01 01:37:00,8229.71,8241.15,8229.7,8240.01,34.185752
2019-10-01 01:38:00,8241.0,8246.08,8234.61,8236.85,22.081442
2019-10-01 01:39:00,8235.21,8243.81,8231.04,8241.61,20.139825
2019-10-01 01:40:00,8241.7,8242.81,8230.13,8231.49,18.131109
2019-10-01 01:41:00,8231.07,8234.84,8230.0,8230.41,9.564217
2019-10-01 01:42:00,8230.39,8255.55,8230.25,8252.61,35.044242
2019-10-01 01:43:00,8252.97,8253.92,8245.39,8250.87,21.56736
2019-10-01 01:44:00,8250.51,8262.15,8246.62,8258.14,25.946368
2019-10-01 01:45:00,8257.75,8260.92,8255.05,8256.16,17.940185
2019-10-01 01:46:00,8256.16,8259.38,8247.92,8249.93,23.515252
2019-10-01 01:47:00,8249.38,8257.86,8246.12,8257.02,18.214813
2019-10-01 01:48:00,8257.02,8273.62,8253.86,8271.57,23.860217
2019-10-01 01:49:00,8270.54,8276.46,8251.98,8261.81,60.571384
2019-10-01 01:50:00,8259.67,8270.9,8252.54,8269.73,24.866038
2019-10-01 01:51:00,8269.69,8275.84,8265.82,8275.79,13.88122
